model_name,num_children,has_parent,is_in_records,license,author
HuggingFaceTB/SmolLM2-360M-Instruct,3,False,False,,
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,3,False,False,,
INSAIT-Institute/MamayLM-Gemma-2-9B-IT-v0.1,3,False,False,,
Krystalan/DRT-o1-14B,3,False,False,,
Krystalan/DRT-o1-7B,3,False,False,,
Locutusque/OpenCerebrum-1.0-7b-SFT,3,False,True,apache-2.0,
Locutusque/OpenCerebrum-1.5-Mistral-7B-v0.2-beta,3,False,True,apache-2.0,
Locutusque/OpenCerebrum-1.5-Mistral-7b-v0.2-alpha,3,False,True,apache-2.0,
NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v1,3,False,True,apache-2.0,
- meta-llama/Llama-3.2-3B,3,False,False,,
Norquinal/OpenCAI-13B,3,False,True,cc-by-nc-4.0,
- togethercomputer/RedPajama-INCITE-7B-Instruct,3,False,False,,
GAI-LLM/OPEN-SOLAR-KO-10.7B-dpo-v1,3,False,True,cc-by-nc-4.0,
- microsoft/Phi-3-medium-4k-instruct,3,False,False,,
- nvidia/OpenCodeReasoning-Nemotron-1.1-7B,3,False,False,,
- meta-llama/Meta-Llama-3-8B-Instruct,3,False,False,,
- sbintuitions/sarashina2.2-3b-instruct-v0.1,3,False,False,,
- microsoft/Phi-3-mini-128k-instruct,3,False,False,,
- microsoft/Phi-3.5-vision-instruct,3,False,False,,
- microsoft/Phi-4-reasoning,3,False,False,,
- microsoft/phi-2,3,False,False,,
- mosaicml/mpt-7b-instruct,3,False,False,,
- mistral-community/pixtral-12b,3,False,False,,
- nvidia/OpenReasoning-Nemotron-14B,3,False,False,,
- open-r1/OpenR1-Qwen-7B,3,False,False,,
- open-thoughts/OpenThinker-7B,3,False,False,,
- openai-community/gpt2,3,False,False,,
- openai/clip-vit-large-patch14,3,False,False,,
- openbmb/MiniCPM-V-2_6,3,False,False,,
data/OpenELM-1_1B-SFT,2,False,False,,
facebook/opt-125m,2,False,False,,
facebook/wav2vec2-xls-r-300m,2,False,False,,
facebook/blenderbot-90M,2,False,False,,
eniora/Juggernaut_XL_Ragnarok,2,False,False,,
emilianJR/epiCRealism,2,False,False,,
emilianJR/chilloutmix_NiPrunedFp32Fix,2,False,False,,
elliotthwangmsa/OpenChat_C-RLFT-tw,2,False,True,,
deepseek-ai/deepseek-coder-6.7b-instruct,2,False,False,,
beomi/Yi-Ko-6B,2,False,False,,
cygu/llama-2-7b-sampling-watermark-distill-kth-shift256,2,False,False,,
cyberagent/open-calm-large,2,False,True,cc-by-sa-4.0,
cookinai/OpenCM-14,2,False,True,cc-by-nc-4.0,
chrisliu298/OpenO1-Qwen-7B-v0.1,2,False,False,,
charlottegl/CantoSent-Llama3.1-8B-OpenRice,2,False,True,,
