child_model,base_model
Cyborg-AI/openai_oss_20b_evo,unsloth/gpt-oss-20b-unsloth-bnb-4bit
Ben-Lustig/OpenRS-GRPO_Exp3,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
OpenGVLab/InternVL3-78B-AWQ,- OpenGVLab/InternVL3-78B
OpenGVLab/InternVL3-78B-Instruct,- OpenGVLab/InternVL3-78B-Pretrained
OpenGVLab/InternVL3-78B-Pretrained,- OpenGVLab/InternViT-6B-448px-V2_5
OpenGVLab/InternVL3-78B,- OpenGVLab/InternVL3-78B-Instruct
OpenGVLab/InternVL3-38B-AWQ,- OpenGVLab/InternVL3-38B
OpenGVLab/InternVL3-38B-Instruct,- OpenGVLab/InternVL3-38B-Pretrained
OpenGVLab/InternVL3-38B-Pretrained,- OpenGVLab/InternViT-6B-448px-V2_5
OpenGVLab/InternVL3-38B,- OpenGVLab/InternVL3-38B-Instruct
OpenGVLab/InternVL3-14B-AWQ,- OpenGVLab/InternVL3-14B
OpenGVLab/InternVL3-14B-Instruct,- OpenGVLab/InternVL3-14B-Pretrained
OpenGVLab/InternVL3-14B-Pretrained,- OpenGVLab/InternViT-300M-448px-V2_5
OpenGVLab/InternVL3-14B,- OpenGVLab/InternVL3-14B-Instruct
OpenGVLab/InternVL3-8B-AWQ,- OpenGVLab/InternVL3-8B
OpenGVLab/InternVL3-8B-Instruct,- OpenGVLab/InternVL3-8B-Pretrained
OpenGVLab/InternVL3-8B-Pretrained,- OpenGVLab/InternViT-300M-448px-V2_5
OpenGVLab/InternVL3-8B,- OpenGVLab/InternVL3-8B-Instruct
OpenGVLab/InternVL3-1B-AWQ,- OpenGVLab/InternVL3-1B
OpenGVLab/InternVL3-1B-Instruct,- OpenGVLab/InternVL3-1B-Pretrained
OpenGVLab/InternVL3-1B-Pretrained,- OpenGVLab/InternViT-300M-448px-V2_5
OpenGVLab/InternVL3-1B,- OpenGVLab/InternVL3-1B-Instruct
OpenGVLab/InternVL3-2B-AWQ,- OpenGVLab/InternVL3-2B
OpenGVLab/InternVL3-2B-Instruct,- OpenGVLab/InternVL3-2B-Pretrained
OpenGVLab/InternVL3-2B-Pretrained,- OpenGVLab/InternViT-300M-448px-V2_5
OpenGVLab/InternVL3-2B,- OpenGVLab/InternVL3-2B-Instruct
OpenGVLab/InternVL2_5-78B-AWQ,OpenGVLab/InternVL2_5-78B
OpenGVLab/InternVL2_5-78B-MPO,- OpenGVLab/InternVL2_5-78B
OpenGVLab/InternVL2_5-78B,- OpenGVLab/InternViT-6B-448px-V2_5
OpenGVLab/InternVL2_5-38B-MPO-AWQ,- OpenGVLab/InternVL2_5-38B-MPO
OpenGVLab/InternVL2_5-38B-AWQ,OpenGVLab/InternVL2_5-38B
OpenGVLab/InternVL2_5-38B-MPO,- OpenGVLab/InternVL2_5-38B
OpenGVLab/InternVL2_5-38B,- OpenGVLab/InternViT-6B-448px-V2_5
OpenGVLab/InternVL2_5-4B-MPO-AWQ,- OpenGVLab/InternVL2_5-4B-MPO
OpenGVLab/InternVL2_5-4B-AWQ,OpenGVLab/InternVL2_5-4B
OpenGVLab/InternVL2_5-4B-MPO,- OpenGVLab/InternVL2_5-4B
OpenGVLab/InternVL2_5-4B,- OpenGVLab/InternViT-300M-448px-V2_5
OpenGVLab/InternVL2_5-1B-MPO,- OpenGVLab/InternVL2_5-1B
OpenGVLab/InternVL2_5-1B,- OpenGVLab/InternViT-300M-448px-V2_5
SandLogicTechnologies/OpenReasoning-Nemotron-7B-GGUF,- nvidia/OpenReasoning-Nemotron-7B
SandLogicTechnologies/OpenReasoning-Nemotron-1.5B-GGUF,- nvidia/OpenReasoning-Nemotron-1.5B
od2961/Qwen2.5-1.5B-Open-R1-GRPO-math-v1,Qwen/Qwen2.5-1.5B-Instruct
mradermacher/openthoughts3_3k_llama3-GGUF,mlfoundations-dev/openthoughts3_3k_llama3
Ben-Lustig/OpenRS-GRPO,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
nobana/sorting_cube_open_close_smol_fine,lerobot/smolvla_base
mradermacher/KimLan-OpenChat_C-RLFT-tw-GGUF,elliotthwangmsa/KimLan-OpenChat_C-RLFT-tw
crislmfroes/svla-panda-open-articulated-objects-v1.0-handle-obs,lerobot/smolvla_base
aquigpt/open0-2.5,qwen/Qwen2.5-32B
crislmfroes/svla-panda-open-articulated-objects-v1.0-remove-handle-obs,lerobot/smolvla_base
fabozzi/OpenEmotions-Mistral-24B-Instruct,- mistralai/Mistral-Small-24B-Instruct-2501
Chaos0818/qwen2.5_7b_instruct_10k_3epoch_plan_sft_openthought114k,Qwen/Qwen2.5-7B-Instruct
mradermacher/Falcon-openR1-Merged-GGUF,SadiaK/Falcon-openR1-Merged
silverlife/pi0_open_door_qianhe,- lerobot/pi0
silverlife/pi0_open_door_office,- lerobot/pi0
mradermacher/openthoughts3_100k_llama3-GGUF,mlfoundations-dev/openthoughts3_100k_llama3
